Semester,Module Code,Count,Level
2010,DSA1101,209,level_1k
2010,DSA2101,105,level_2k
2010,DSA3101,91,level_3k
2010,DSA4211,83,level_4k
2010,DSA4264,31,level_4k
2010,ESP2107,33,level_2k
2010,SP4261,33,level_4k
2010,ST1131,72,level_1k
2010,ST1232,347,level_1k
2010,ST2131&MA2216,142,level_2k
2010,ST2132,223,level_2k
2010,ST2137,55,level_2k
2010,ST2334,811,level_2k
2010,ST3131,126,level_3k
2010,ST3233,78,level_3k
2010,ST3236&MA3238,63,level_3k
2010,ST3240,43,level_3k
2010,ST3242,26,level_3k
2010,ST3248,114,level_3k
2010,ST4231,102,level_4k
2010,ST4233,47,level_4k
2010,ST4241,11,level_4k
2010,ST4245,79,level_4k
2020,DSA2101,78,level_2k
2020,DSA4212,118,level_4k
2020,DSA4263,53,level_4k
2020,ST1232,141,level_1k
2020,ST2131&MA2216,398,level_2k
2020,ST2132,210,level_2k
2020,ST2137,55,level_2k
2020,ST2334,604,level_2k
2020,ST3131,238,level_3k
2020,ST3232,40,level_3k
2020,ST3236&MA3238,97,level_3k
2020,ST3239,58,level_3k
2020,ST3241,27,level_3k
2020,ST3244,27,level_3k
2020,ST3246,25,level_3k
2020,ST3247,73,level_3k
2020,ST4232,37,level_4k
2020,ST4234,99,level_4k
2020,ST4238&MA4251,25,level_4k
2020,ST4242,5,level_4k
2020,ST4248,74,level_4k
2110,DSA1101,240,level_1k
2110,DSA2101,105,level_2k
2110,DSA3101,114,level_3k
2110,DSA4211,142,level_4k
2110,DSA4266,29,level_4k
2110,DSE1101,47,level_1k
2110,ESP2107,37,level_2k
2110,FSC4201,24,level_4k
2110,ST1131,144,level_1k
2110,ST2131&MA2216,108,level_2k
2110,ST2132,260,level_2k
2110,ST2137,53,level_2k
2110,ST2334,811,level_2k
2110,ST3131,165,level_3k
2110,ST3236&MA3238,55,level_3k
2110,ST3239,36,level_3k
2110,ST3248,138,level_3k
2110,ST4231,85,level_4k
2110,ST4233,74,level_4k
2110,ST4241,11,level_4k
2110,ST4245,56,level_4k
2110,ST4250,13,level_4k
2110,ST4253,75,level_4k
2120,DSA1101,265,level_1k
2120,DSA2101,104,level_2k
2120,DSA3101,61,level_3k
2120,DSA4212,187,level_4k
2120,DSA4265,72,level_4k
2120,ST1131,192,level_1k
2120,ST2131&MA2216,440,level_2k
2120,ST2132,184,level_2k
2120,ST2137,79,level_2k
2120,ST2334,734,level_2k
2120,ST3131,238,level_3k
2120,ST3232,36,level_3k
2120,ST3236&MA3238,84,level_3k
2120,ST3244,18,level_3k
2120,ST3246,27,level_3k
2120,ST3247,109,level_3k
2120,ST4234,62,level_4k
2120,ST4238&MA4251,29,level_4k
2120,ST4248,64,level_4k
2120,ST4251,9,level_4k
2120,ST4252,5,level_4k
2210,DSA1101,241,level_1k
2210,DSA2101,192,level_2k
2210,DSA3101,108,level_3k
2210,DSA3361,11,level_3k
2210,DSA4211,146,level_4k
2210,DSA4262,75,level_4k
2210,DSE1101,86,level_1k
2210,ESP2107,44,level_2k
2210,FSC4201,27,level_4k
2210,ST1131,166,level_1k
2210,ST2131&MA2116,249,level_2k
2210,ST2132,309,level_2k
2210,ST2137,69,level_2k
2210,ST2334,873,level_2k
2210,ST3131,148,level_3k
2210,ST3239,55,level_3k
2210,ST3248,128,level_3k
2210,ST4231,93,level_4k
2210,ST4233,25,level_4k
2210,ST4245,60,level_4k
2210,ST4250,36,level_4k
2210,ST4253,63,level_4k
2220,DSA1101,263,level_1k
2220,DSA2101,214,level_2k
2220,DSA3101,89,level_3k
2220,DSA3362,3,level_3k
2220,DSA4212,122,level_4k
2220,DSA4263,54,level_4k
2220,DSA4266,15,level_4k
2220,ST1131,174,level_1k
2220,ST2131&MA2116,363,level_2k
2220,ST2132,217,level_2k
2220,ST2137,66,level_2k
2220,ST2334,501,level_2k
2220,ST3131,228,level_3k
2220,ST3232,47,level_3k
2220,ST3236&MA3238,109,level_3k
2220,ST3244,21,level_3k
2220,ST3246,31,level_3k
2220,ST3247,114,level_3k
2220,ST4234,68,level_4k
2220,ST4238&MA4251,40,level_4k
2220,ST4248,62,level_4k
